text,airline_sentiment
thank great flight gfc cheer,positive
bad customer service nyc week ago thinking moving,negative
uniteds ceo decided outsource push skilled loyal employeeslack staff,negative
mean employee really nice literally sobbed,negative
mean say many complaint today week month cant respond bc shes alone,negative
flying home event tomorrow pushed back flight ticket wont get home time,negative
held plane made,positive
delayed departure hr wait passenger another flight late flight unacceptable,negative
ok sent u info via dm appreciate help consideration 😊,positive
flight chicago houston hour pretzel peanut seriously passed,negative
nice early back home,positive
hope,positive
tag bag airport hoping would actually arrive here hoping arrive,negative
ill make sure he done thanks help huge race trying make sure go smoothly peace,positive
planned book additional flight tonight hr working one trip im worn enoughisenough,negative
much help disappointed customer service,negative
youd love see girl inspired becoming pilot rt free woaw event march abq,neutral
system hold min mia tell going charge flight booking problem fee customer service,negative
took screenshot emailed let dm figure,neutral
👏 wont 👏 👏 👏 👏 wedding 👏 irreplaceable milestone there reflight booking problem repaid,negative
brother luggage lost copa airline flight he competing sunday panamerican cross country cup please help,negative
fill yes thanks bringyourown,positive
last flight day less driving hour aspen thru snowstorm thx team lack customer empathy,negative
brother baggage lost route panamerican cross country cup championship columbia race sunday please help,negative
yes plenty seat available vicky thomas refuse give one million mile flyer,negative
funny flight yesterday delayed mechanical issue rotten luck get plane row issue,negative
would nice earlier today late flight hope,negative
waiting min counting get global servicessomething going,negative
still trying get home,negative
also atgate monitor showed empty seat,negative
reservation desk told said plenty seat,negative
exasperating im difficult time flight booking problem error message say youre undergoing maintenance really,negative
flight attendant extremely helpful woman hard time walking touching,positive
please call,neutral
laxm make happen please else cruise luggage tomorrow,negative
make connection stellar employee vicky thomas refused board even though empty seat plane,negative
course start trip wks ago gone downhill return,negative
u dont,negative
much longer take guitar royal commission,negative
voucher expires next week get extension expires,neutral
sure different text changing time amp gate especially location across entire concourse seemed little,negative
know would awesome providing u complimentary entertainment flight especially longer hour,neutral
dm sent thanks,positive
late flight future flight train staff better handle emergency situation ground staff customer service,negative
san diego chicago leaving tomorrow,neutral
stuck airport hour standby cuz pilot showed late flight pjs amp missed connectin flight pjs tell u nyfw,negative
brian sfo customer service deserves raise gave extra meal voucher good joke cheer flight delay ftw,positive
thank nice evening,positive
wait ill lose flight frustrating,negative
certainly,negative
available online cant figure guarantee flight,neutral
trying book flight wmiles hold gave need get flight using two diff pay tix,negative
thanks took care called,positive
thats tweet u choose answer tell youre liable youretheworst neveragain,negative
youre reason houston nyc tonight took plane hour take explanation sorry,negative
awesome thank much help,positive
need follow dm give info,neutral
agent arguing check bag announcement looked room seat gave walked back seat unnecessary,negative
yea saw im moving china bag pay whatever wanted make sure ok bring many,neutral
change name united incompetence flight monday take hour drive get flight,negative
even mentioning rude customer service u business owner id mortified employee acted,negative
kept watching safety video first time forever nice job 👍,positive
time respond everyone elses complaint mine lost customer,negative
thanks lea chicago office help switching cancelled flighted flight,positive
likely make sound like idea want flight please use fact thanks,negative
tell something dont knownot keepingit weaktea,negative
wait time baggage question minute thats crazy limit amount bag bring internationally,negative
“ dont like hear anything help thanks ey” another empty offer help,negative
im try upgrade seat first class wait time phone minute help,negative
ua coshared flight w ana unable check hr prior,negative
never flying guy ever customer service piss poor best,negative
hour flight turn ordealsigh,negative
luggage group luggage lost,negative
assistance attitude staff matter airport,negative
sure follow sec,neutral
thank much help birthday trip ticket confirmed,positive
airline flight ua need make ua u hold plane u,neutral
hear guitar damaged december use guitar earn living get act together,negative
hold minute talking one employee asked name id hung face,negative
hope ive received help far ive hold hour someone speak,negative
tried flight option per weblink non available next day frustrating notgoodenough poorservice,negative
asked dm ignore please assist changing another flight today feb fra mco avoiding iad,negative
stay business poor service poorservice notgoodenough,negative
airline refuse canadian passport less month remaining validity going u,neutral
time arrive airport domestic flight san diego,neutral
taxing ord avgeek,neutral
sent dm existing reservation one responded,negative
going service desk see option,neutral
miss continental day,negative
next time bag underweight guy credit take business airline care,negative
wasnt full plenty time go gate check plus status gotten,negative
staff refuse let earlier flight citing checked bag,negative
thanks nothing next time ill bring whole extra suitcase extra pound make sense right,negative
first lost bag cancelled flight flight home min wait talk somebody poorservice notgoodenough,negative
great landing denver next rapid city snow starting fallflorida everglades faint sunburn awayhere come cold,positive
looking forward flying guy well,positive
flight arrive early delayed due gate available min late flight tarmac,negative
flight landed min told stay plane havent pulled gate amp little information,negative
love hate relationship day youre good others terribly awful saddening,neutral
better customer service john wayne airport,negative
bag finally delivered intact thanks assistance,positive
passenger seated crew ready wheresthepilot flt ord hope isnt bar,negative
booked tix month ago cheaper customer service useless whats,negative
ua still taking pm im stuck tarmac ua waiting get,negative
youre right good caught mechanical failure bad blanket ok,negative
sitting ua getting delayed operation cant find captain ridiculous united,negative
truly worst day flying ever experienced,negative
guy made day treated well thank,positive
stuck houston cant seem get plane destination time perfect flying condition,negative
phone customer service team bad think time consider switching airline,negative
much longer united phone hour straighten star alliance upgrade,negative
verify wheelchair assistance requested next flight,neutral
left dildo plane way get back,neutral
dont know last name karen call center terrific friendly helpful terrific representative kudos,positive
im cancelled flighting mileageplus card never business clearly dont care customer,negative
thank good service safe flight way home,positive
even ask dm offer help cant anything terriblecustomerservice unitedairlines,negative
yes appreciated misinformation damage credibility may want someone observe newark fwiw,negative
guy suck,negative
never fails flying fc order ravioli get chicken tell fa say told people wanted chickenidiot,negative
second time flying houston min waiting luggage baggage typical still waiting,negative
flight went great improved view airline cheer flight attendents ua deserve raise,positive
horrible service attitude asked information make want fly united ever platinummember,negative
rep hung min hold asked supervisor im furious right,negative
question interview process one interview last person good bad,neutral
thank hr terminal dulles airport,negative
go bankrupt transfer asset luv would great,negative
landing chicago saw already airborne,neutral
marcus helped good agent couldnt fix flight listed website unavailableto book false advertising much,negative
may hit new status year i’ve flown several time year tried book y’all every time,positive
unsmiling rep told u hotel shuttle come like every minute breezy min late flightr taking cab going reimburse,negative
someone miss connecting flight airline last flight day fix,negative
yes needed plenty assistance received none,negative
tonight got hotel hr traveling still reaching destination disappointed thanks,negative
thank reply emailed customer care department experience,negative
file claim agent wont let speak supervisor claim number expired wont find bag,negative
done something make ill tweet,neutral
one interview last person mean,negative
flown time last day flight delayed huge mistake part dont fly united,negative
received notification inflight wifi ua amazing,positive
yes taking two day get bag delivered missed full day skiing,negative
give recognition deserves,positive
shes type person make customer day fly time year amp shes one top flight attendant ive,positive
made remove pound checked bag otherwise would charge loyal flier year time change,negative
sitting plane unreal day nightmare end,negative
suck youre best,positive
let u gate ua,negative
amp top free tv int’l leg i’m sitting tarmac houston min past departure w another hr plus go,negative
dtv doesnt work pilot late flight wont let yr old fly next paid upgrade unitedsucks,negative
loyalty team basically flipped via phone thanks maybe google loyalty get back lol,negative
hey job dont give safety spin plane broke original flight unitedsucks,negative
thank,positive
mean beyond opaque maintenance issue yes would basic customer service ewr staff cant manage,negative
dear ted dont care mileage plus card pay lot bye bye united,negative
terminal gate b flt take terminal gate swiss air lx,neutral
sad dont think important resolve client facing team behaves disgraceful,negative
help girlfriend amy lloyd going miss flt zurich bc fault need golf cart meet ord,negative
epicfail former gate agent pia walked away quit luckily responsible pia agent saved day,negative
problem told aircraft way,negative
thx sitting plane hr refuel cant even make stuff,negative
know use twitter bro terminal look like bosnia here another pic,negative
far worst airline plane delay round trip flight possible,negative
took care rent car drive hour retrieve belonging due united error,negative
ill probably miss next connection,negative
chance youll ever cpu jfklax like,neutral
may think im joking blowing proportion last united flight delayed significantly late flight,negative
case delayed due mechanical issue update departure time cancelled flight goddamn flight go delta,negative
day plane mechanical issue hr late flight sitting plane insane,negative
didnt get message ill resend number,negative
yes filled form last year dont case number handy guess im cut historical society afterall,neutral
idiot designed seat armrest tv remote amp resting elbow dont mix seatmate keep changing channel amp blasting volume,negative
bump group wont forced check bag wait minute lga,negative
listen learn amp remove pqd requirement insulting ha,negative
thank reply fill form submit requested good know youre paying attention,positive
gate agent alavera amazing,positive
need youto better airline lol,negative
agent forced check carry bag received bag found crew stolen u lost business,negative
win top mark customer service via twitter turned poor experience positive many thanks effort 👍,positive
reallyyou charge check bag put different flightstill dont bag,negative
havent released travel advisory iad tomorrow,negative
cross country flight sfogtbos wifi even soda quality inflight entertainment sad,negative
really getting horrible much tucking kid tonight delta transfer milesstatus right,negative
interview long take hear back,neutral
think problem resolution decided end especially youd like continue flying airline,negative
roundtrip london think fyi thats another k lost moneynotspentonunited unfriendlyskies,negative
already flight booking problem next week trip thanks making choice easy disunited unfriendlyskies servicefail,negative
flight experience r often frustrating day ua chi wpg flight attendant april amazing shes best,positive
also group total b,negative
dont ask patient without offering something return,negative
like clockwork friday afternoon flight la den running late flight seem happen consistently keepit,negative
getting business unfriendlyskies unbelievable,negative
free booze bach party would make better ordgtmsy delayed enjoy either way thanks,positive
name boarding pas think might really need idea,neutral
sitting seat flight back vega chicago someone left folder look important seat pocket,neutral
incompetentrude service today missed connecting flight customer service desk terrible really upset w untd,negative
terrible experience ua th st exit row economy zero legroom row booked return cant change,negative
hour late flightr ive transit total twelve hoursplease change plane flight ridiculous sfo,negative
good man isnt fault plane maintenance issue,positive
delay flight ua painful sure hope doesnt cause luggage miss ua flight new delhi,negative
yes unbelievable free fare lock,negative
“ puppy cute look forward board thanks high five ey” 👏👏,positive
worst airline beware maintain plain runway past hour,negative
free like airline it’s anymore,negative
existing reservation fine talking longer cmhord option get late flight,negative
please tell im going make connecting flight ohare stl southbendinwhere 🙏,neutral
lindsay darn terrible memory part know headed back iad pit tonight,neutral
know i’m sure hear time — don’t like new seat i’m small guy ’ ” feel new plane tight,negative
hr ord another tarmac refuse move earlier flight make iflyalot b,negative
ok thanks clarification,neutral
coming back huge east bay customer base due sfo miss,positive
also doesnt help im frequent flier united premiere gold apparently mean nothing,negative
delayed another hour,negative
million mile flier im embarrassed ask long ago launched,neutral
cant beat storm town wait issue policy late flight nw issued storm warning already,negative
miss one probably aspen event fail,negative
dont need apology need bag took minute landing get unacceptable,negative
add wifi entertainment old seat i’ll come back,negative
fly sfo honululu get pushed back hour look like delay beg plz sort soon,negative
thanks catch conection,positive
super lame charge tv international flight u isn’t,negative
volunteer give seat people sit minute plane waiting add people letsgo,negative
going transfer car airport couldnt get,negative
next time volunteer let gate check bag space since obviously cant deliver timely manner,negative
im sorry cold chicago dont see mean take minute priority bag show carousel,negative
long take customer feedback respond complaint,neutral
making miss big snow montana cool,negative
might airline offering waiverskeep good fight,negative
frontier,neutral
thank help appreciated,positive
fyi went similar flight last week,neutral
know check complaint ticket said dinner booked changed refreshment wheres refund,negative
bag mia since wednesday still word well ever see lostluggage frustrated,negative
assume benefit apply reservation way partner diff re use combine re,neutral
u air,neutral
cant american airline suppose,negative
love report horrible flight team let make worseas get seatout snack,negative
uhuhgroup trying get nashville iad today instead tomorrowwhy preemptive though,neutral
thanks moving dad mom flight helped make birthday start friendlyfriday awesomeness paw,positive
need get together flight cancelled flightled stranded car baggage lost never get right,negative
blood service make appt today,neutral
worth saying litter singapore get caned rule say,negative
waiving change fee snow storm coming tomorrow iad winter storm warning tomorrow already whats,neutral
yes ill sending email customer service today,neutral
im fully aware rule harsh toward client especially since youre going resell seat,negative
wont check carry watched handler throw bag miss conveyer belt sat min,negative
waste time airline get automated message disappointing always,negative
mean within one week filed compensation complaint website,negative
sure however ticket included one checked bag therefore charge extra completely unanticipated,negative
“ follow maintenance team thanks tweet kp” thank united care,positive
terribly disappointed confirmed reservation delayed cust service staff helpful finding alternate solution,negative
checkin luggage employee told include wheel dimension,neutral
dmangencom,neutral
ticket refunded purchased brother flycould used refunded credit fly respond,neutral
besides fact one week ago delayed hour impressed,negative
one checked bag checked edinburgh however charged randomly dc newark,negative
purchase ticket entitled check bag however charged extra dollar domestic transport,negative
thank u hr delay boarding u onto plane reek vomit flight attendant indicated wasnt cleaned properly,negative
never grossed life disappointmentyet againflying,negative
need add service dog itinerary tomorrow,neutral
thanks delaying flight hour boarding u onto flight reek vomit wasnt cleaned properly,negative
landed might want check flight plane houston sound takeoff amp landing,negative
cant even look right ill call im mad,negative
dm ed u request num,neutral
requested online refund option denied saying ticket used hope understand problem approach,negative
nope still sitting gate,negative
bagage take cabin dont need checkincorrect,neutral
exactly,neutral
passenger waited inside flight runway returned back gate count valid journey,negative
yes partly used delewr used return flight cancelled flightled due technical glitch operation,negative
thank appreciate response,positive
old school ride home lax houston flyingretro,neutral
appreciate looking compensate anything trouble still havent taken flight,negative
mine gjqxj husband acw cant dm reason,neutral
thank thank thank contacting thank offer travel certificate unitedairlines,positive
another terrible experience united discrimination delay help customer service united notimpressed,negative
hi flying iad tomorrow evening expect delay cancelled flightlations snow storm,neutral
business decision made inconvenience possibly cause lost customer good business decision cranky,negative
sent dm thanks incredibly happy fast response got via twitter via customer care thank,positive
please provide update ua flight stranded united information crew plane,negative
thanks reminding much easier fly southwest get agent sfo,negative
perfect work thank,positive
thats still one day visa expiring june booked flight day,negative
followback dm plz,neutral
miaewr 😄😄😄 excellent crew ewriad 😡😡😡 crew load bag waiting w door open freezing min past departure,negative
customer service crap,negative
thanks ground crew surprised flight arrive beingsuckontarmacsucks,negative
mechanical issue look like got fixed thanks concern,positive
ua sitting tarmac ord visibly gate open reassign gate,negative
usually issue express sfo positive note mainline p enjoyable,negative
sato rebooked upset travel office fix couldnt,negative
kind unnerving watch guy deicing plane text phone whole time,negative
refreshes browser right checkouterror load message ticket price increased matter sec dounotwantmybusiness,negative
united voted every year one worst airline enjoy title give jedediah free pass,negative
think board back plane whatstheholdup chitocle,negative
plane thanks maybe dont let many people check teeming moron,positive
thanksseat made year old broken tv flightsyearmy last airline,negative
ua need deicing stat weve waited turn,neutral
yes ive boarded way many time amp never show pas tarmac multiple time path railed way,neutral
fair enough united everybody best although slight delay turning cancelled flightlation,negative
still waiting bag never got delivered yesterday cant reach real person help sending dm ref number,negative
worst flight experience ive ever never ever fly airline,negative
go thru detail flight want w recording repeat real person get line,negative
look like came thanks help,positive
anything yet jj,neutral
would person take hour hour wait time tell lie,negative
hey dm working ua,negative
refund team far customer care courtesy need training work ethic like sir u r lying help,negative
splitting flight quadruple price,negative
contd told asking refund used ticket flight got cancelled flightled ticket used,negative
several trial several hour waiting phone contact customer care get refund get cold shoulder,negative
booked paid flight get denver specific time meeting failed wasnt caused weather,negative
since get good transcontinental flight h pleasurerelief,positive
dont understand isnt flight paid premium getting cancelled flighted best next available flight,negative
flight awful one lavatory functioning people lining bumping etc cant use st class bathroom ridiculous,negative
current board food menu available anywhere online,neutral
airline changing mileageplus program winner loser,neutral
actually arent still parked,negative
put sun carry rt “ right would heat wave enjoy warmth bring home jj”,neutral
thanks prompt response another hour enjoy vacation perhaps bug app still show,positive
apply one travel certificate per itinerary even multiple flight,negative
appreciate sentiment able get groundstill missed connection,positive
log view reservation try view specific reservation amp take back login page,negative
go round amp round going week,neutral
thank prompt assistance,positive
time flight delayed miss next flight time youve lost baggage clean clothes flight thx,negative
looked email chain one,neutral
hell mile expire really looking forward accruing enough free flight year,negative
thanks timely update,positive
also want naming right first child fly home visit mother avoid winter depression,neutral
im familiar procedure wouldnt first time unitedairlines lost one bag unhappytraveler,negative
get giving inaccuratemisleading info doesnt seem like great way hopethegearmakesitintact,negative
cleaning regional jet take hour,negative
baggage check flight crew friendliest ever flight ogg lax,positive
thanks mean minute make international connection hkg,neutral
kp traveling trying cheer m bila,neutral
tried charge flight tried make change phone including change fee wtf,negative
thank offer sorted,positive
workin waiting reply,neutral
flight rolling delay hour minute,negative
believe customer service last post narita tokyo sent motel rest said standby maybe day,negative
think best first class ever gotten denver lax wonderful,positive
course inflight crew great,positive
well played lo,positive
pilot ua landed plane like gently placing u pile whipped cream smoothest landing ever,positive
website complete joke using safari,negative
new seat canadaair regional jet plain suck,negative
im another country please cancelled flight reservation ive booked swiss air,neutral
airline abuse expensive video equipment overcharge privilege via,negative
found flight,neutral
thats reply lol hoping least new plane maintained flight 😒,negative
somebody say flight upgrade,negative
dm sent,neutral
tripitpro accurate delayed dept time hour late flightr hear curious,negative
tell airline lost mine family business day age message twitter travel fast,negative
trying reach number last standbye gave meal voucher potential day standbye,negative
disappointing customer service,negative
boarded time deplaned minute delay transparency cant wait give gold status aa,negative
wife sarah stocker also called could connect customer service,negative
victim scam shit customer service time agent hung wtf teach staff,negative
flight frustration boiled dealing attendant attitude ridiculous,negative
nice know hour time worth free directtv everyone ever hear preventative maintenance,negative
may true however week matter still unresolved get supervisor manager help,negative
obviously one know darn thing around get resolved,negative
going forward shouldnt flight booking problem star alliance flight united app,neutral
notification yet staff board say accurate departure time,negative
im know seat actually narrower seat feel like maybe im extra bloated,negative
dm sent lack customer service getting ridiculous,negative
delayed going home getting really tired delay,negative
big thanks mn kn patiently clarifying united domestic world,positive
uh booked ua website price change,negative
im rebooked getting home hour late flightr planned chance ill ever see bag unhappytraveler,negative
united club team amp got seat late flightr still sure last min ual cancelled flightlation cost yet overbooked folk get,negative
flight yyc providing free food allowed back board broken lightbulb,negative
looking fare returned companion flight dont understand additional fee necessary,negative
thank much help ton whoever twitter acct today deserves handshake hot chocolate flight problemsolvers,positive
left headphone ua yhzewr long shot see worth tweet anyway,neutral
thousand fan asking give utmost effort get safe flight baggage soon,neutral
cant wait,positive
flight specific last two probably foot apart within sight,negative
love told would issue refund couldnt get u way hurricane denied,positive
without baggage day cant get update houston airport since monday worst service ever,negative
yes three different checker along walk plane overkill,negative
bummer might go card instead ty response though,negative
“ please dm detail wed like help need assistance kp” another airline issue,neutral
im sure business go else airline travel name kathryn sotelo,negative
please arrange someone arriving gate flight chicago either refund first class upgrade,neutral
made check carry flight pbi newark plane luggage stow full u r costing time money amp aggravation,negative
way contact flight work father pas heading denver,negative
two flight today let hope kit get treatment,negative
thnx,positive
please help regarding pnr azzf waitlisted flight,negative
emailed jim compton jeff smisek hopefully pay attention,neutral
hope solution insurance cover issue,negative
customer service solution might miss show,negative
deserves go bankrupt delayed outbound flight info connecting flight going miss,negative
flt delayed maintenance thats fixed cant board flight crew didnt stay boarding area fail,negative
anymore finally ticketed min takeoff sure confusion fullfare gsa ticket,negative
mile earned explorer card count toward lifetime mile,neutral
yes still dont know ive told might flight one confirm,negative
something missing checked baggage,neutral
wind chill ithica degree trouble losing clothes give tshirt ill burn warmth united,negative
aw thanks kind word totally make extra hour sitting airport soooo much better,positive
frontier currently offering weather exception weekend united,neutral
calling customer service delayed flight today luggage misplaced disaster across board,negative
crew notified passenger moved water fixed tarmac two hour,negative
link helpful put touch management,negative
u might imagine former pilot particularly touched gesture please let fo know keepingtraditionsalive,positive
delayed cmh ord ran gate min b connection door closed one around ignored st agent nd super rude thanksunited,negative
guess kit kat look tasty going near sandwich,negative
worse headed laguardia delayed tray table size mouse pad overhead size pocket,negative
iah ewr broken entertainment system wifi despite info app,negative
customer service terrible,negative
please send help asap flight chicago seat c airline,negative
define appreciate doubt worst major airline usa act much feedback,negative
yea refund airline ruined trip,negative
sent thank,positive
thats wonderful unfortunately doesnt help hr flight major u city disappointed,negative
thanks delaying flight hour missing connecting flight terrible customer service neveragain vacation,negative
got rebooked aa one question though automatically refund check baggage fee flight cancelled flightled,negative
good k team nothing short amazing everything,negative
new flight window kind ticked pick aisle seat hate window seat annoyed epicfail,negative
good fly united businessfirst,positive
nope rebook houston could get amarillo pm stuck sfo four hour,negative
thanks made,positive
past,neutral
thanks dmed hn,positive
money sucking airline terrible terrible customer service,negative
aware airbus fleet suck id rather fly c full rubber dog shit,negative
issuing exception policy denver weekend,neutral
need breakdown international surcharge flight cover please help,neutral
fyi staff telling customer try carrier,negative
couldnt possibly messed trip anymore thanks terrible airline disappointed,negative
wifi ua sf chicago thats p tech intro video joke epicfail,negative
flight thx,neutral
based suggestion passenger rental car standby one way another leaving,neutral
thanks reply box mine im missing one added bag,negative
wifi flight ua sf ord really wow,negative
give belfast hug new unmissable bushug format impact busads thinkbus,neutral
worst,negative
haha clean plane held overnight hangar sound lovely also dont lie screensand say weather,negative
charge delay united still waiting,negative
save checked snowboard trying check morning website want premgold,neutral
traveling fra thru iad mco tomorrow concerned abt iad weather cant change advisory issued advice,neutral
made feel guilty economy plus didnt pay extra leg room,negative
flight cancelled flightled new flight hopefully,negative
cancelled flightled newflight upset one cancelled flight could rented car would honest,negative
enjoyed heathrow lounge much almost missed flight,positive
hi flight try book new one way flight departure show pm seems accurate,positive
stuck ord united cant find airplane lol upset terminal right,negative
contact requesting charity donation thankyou,neutral
wth honest customer better last change driving home plane left,negative
nd time row ive charged plane ticket united shouldnt check cc everytime,negative
need customer service manager contact please,neutral
flight really going leave newark today tell u rent car want end stranded,negative
thanks reply saw particularly helpful hungry vegetarian flying specific flight shrug,negative
funny boarding pas said priority clearly priority airline,negative
im sure offer nothing inconvenience put twice month tweet dont cut,negative
youll cancelled flight flight like,negative
screwing twice one month learned lesson,negative
whats point offering free checked bag lose,negative
cheer,neutral
please send linkemail formally compliment irene slc best customer service ever paxex,positive
thnx lo,positive
yes houston intl bush,neutral
hi flight cunewr show departure pm united app confirm doesnt look correct thanks,neutral
flight vega houston cancelled flighted morning due operation mean thank god woke early today,negative
thanks,neutral
education staff needed also turned away first class cabin passenger mileage plus,negative
item mine mysteriously ended checked bag ewr yow flight missing black box,negative
guessflight going cancelled flightled empty seat confirmed important frustrated,negative
instead making seat smallerthinner u jam people flightu concentrate maint amp happy customer,negative
need assistance pulling agent head ass,negative
gate definitely full parked wheel chocked customer service called unmet arrival,negative
another glitch,negative
spite flight delay great customer service provided janet baggage employee karen wonderful employee united,positive
really hard time believing plane terminal delayed mechanical issue whatgives dullessucks,negative
start xdaily erj flight chicago evansville jun avgeek,neutral
flight almost half hour tarmac waiting paper cannot miss connection iah,negative
worst airline ever thanks slew rude agent staff making delayed flight even worse,negative
chance hell id rather walk worst airline ever,negative
worst major u airline proof theyre boarding plane outside galley door open degree weather wtf,negative
checked boardingpass wno checkin bagage guess im set,neutral
always make cross country flight rad here baby flier charlotte thtimemonthsold,positive
late flight damage done easily worst airline experience life missed two connecting flight amp day work ua,negative
dont know aware premier access line closed terminal feel love,negative
firstclass london way londonfashionweek lfw 👠🇬🇧👠🇬🇧👠🇬🇧,positive
disappointed learn charging use k mile upgrade p jfk flight looking alternative,negative
kidding ill send stuff thanks,neutral
unacceptable practice leave cancelled flighted flight passenger sleep cement pillow ua,negative
u get crew member waiting told minute ago landed still gate,negative
flight massive fail delaying transport crew member causing many miss connection unreal,negative
worst customer experience houston intl airport ground support even member nightmare,negative
tremendous would recommend,neutral
help delayed flight im going miss connection,negative
im counting please dont let delayed needtocatchmynextflight alreadyrebookedonce,negative
impossible actually get passenger luggage final destination,negative
huge kudos fo sunday flt sjoiad handed daughter first pair wing keeping tradition alive,positive
awesome new plane flight,positive
flightdelay early craft arrival pilot stuck traffic fail nocustomerservice nocompensation,negative
oh united much despise thee,negative
let see today hoping ontime dept dullestostatecollege runningonthreehoursofsleep delayedovernight,neutral
flt capt herman amazing came flight play ask captain anything wonderful ambassador airline,positive
airline biggest joke operation world,negative
going baggage claim newarktiredandwanttogohome,negative
usually lounge staff fantastic except today mco almost denied entry lounge even though traveling unitedfirst,negative
hour delay misplaced bag poor communication worse unsympathetic confrontational gate agent cool,negative
dont respond email facebook msg im still wating ticket im getting really angry disappointed,negative
send jeff smisek trip jetblue sw make sure take note would never choose fly united,negative
disappointed service level staff communication bummer,negative
predawn flight miami ewr annual sobewff trip,neutral
thanks great news u wont refund ticket due bad exchange rate knew u would come sens,negative
thank wonderful global first class flight fra great service cont,positive
got look forward hearing soon,neutral
going rectify please direct complaint department stickingtodelta,negative
thank united “ thats beautiful place stay day longer rebooked let know mn”,positive
top flight attendant talked loudly throug flight even light dimmed resulting sleep,negative
seems like one united help lot finger pointed zero people stepping least gate oreo,negative
access dial make faster,negative
ill impressed actually get response 😜,neutral
hi left asus tablet flight heathrow newark th feb wondered long take someone check found,neutral
hr delay start huge queue security representative meet u rude staff baggage reclaim inefficient,negative
worst flight attendant like angry drunk aunt everything argument,negative
black white eu law € cancelled flightled flight want money,negative
accordingly u dont respond,negative
extra care airline unitedairlines dont care trust customerservice non existent dont,negative
another unfortunate case bad luck usually maintenance issue swapping plane ont get late flight,negative
shame great customer service wasnt continued sfo slightly absurd,negative
onlyinamerica day word unitedairlines customerservices bad pr guy,negative
still awaiting reply ur customer service day response lousy unitedairlines,negative
alright thank much appreciated,positive
happened airline theyve given flight voucher transparent problem,negative
thanks im booked spent extra hr ten w explanation flying middle seat char instead memphis,negative
agent rick clifton seahou told father dying needed get handbag cabin nothing shameful,negative
chance allowing reflight booking problem yet travel denver weekend due impending storm,neutral
watched crew escorted back st class prebooked really dissatisfaction und,negative
thanks yup im set happens slc ground staff prompt helpful courteous,positive
plenty empty seat coach dissatisfaction understood crew member traveling duty prebooked f,negative
good didnt die anything say get pay,negative
thank much able contact,positive
maybe return trip 👍,positive
staff laguardia lagos nigeria unprofessional uncaring helpful ou,negative
got gate thanks checking,positive
u kept passenger waiting night plane put service leaving everyone stranded night inexcusable,negative
especially like upgraded three crew member first class instead passenger keepitclassy customerservice,positive
hello got flight month ago constantly think peanut anyway could send,neutral
flt lax ewr pilot bragged getting ewr early wait min jetway driver thanks united,negative
happy found phone easily worst system ever heard,negative
really hour dont like delay avoid well way asap,negative
waited hour airport told one fib cant ual honest customer,negative
round trip,neutral
well yet checked bag already vanished havent left airport yet,negative
thanks tonight would seem,neutral
rapid trip plane ticket idaho california doesnt problem would wonderful,negative
agent help point there problem amp dont want mess somebody elses plan u flow tech team pls,negative
delayed hour one hour flight frustrating im also unable get decent meal hournever,negative
please went beyond made u number one priority,positive
guy awesome thanks,positive
thnx,positive
think status nothing think bug search system,negative
anna palm spring gate deserves medal handled ppl missing flight like pro,positive
would appreciate answer werent alerted flight cancelled flighted plane landed showsomerespect,negative
wtf delay delay hour yvr san unacceptable flight crew availability blame never,negative
think left phone flight help,negative
great customer service thanks,positive
thanks would awesome,positive
hey left computer bag wcomputer inside united filed online report response,negative
empty upon takeoff cant someone sit,negative
case id requested day ill get response b,negative
na united fave airline,positive
thanks formed submitted im betting someone would honest enough turn though,negative
lh return business ticket den fraif fly domestic youbag checked frano need claim,neutral
also united phone representative asked web password normal,neutral
€ difference booked flight want screen shot,negative
plan reduce delay,neutral
im searching flight redeem mile getting different search result user account reason,neutral
rebooked hour original flight say handling situation bad would understatement,negative
would like supervisor talk waiting flight attendant one walked amp left,negative
whats phone number customer service question,neutral
kid left kindle fire hd onboard ua ordsfo today row abcdef whole row amongst u help,neutral
understanding situation waited opened pm,negative
“ hope see board soon thanks tweet ey” 👏👏,positive
curious going finally learn customerservice,negative
nice see u sense humor hourdelay want b home ill settle beer safely air course,negative
surprised go k last year nothing year happened soft landing policy level,neutral
pay person portland airport flying perth done u air,neutral
service desk gate helped u find flight get u dest time flight got cancelled flightled,negative
thanks answer question want make reservation phone perth hold hr family,negative
wasnt delay much straight cancelled flightlation weather wasnt issue either,negative
thanks ruining wedding anniversary flight ua ewr rdu delayed hour reach home nxt day,negative
cancelled flightled flight unknown reason havent really given anything make overnight layover tolerable,negative
difference responsible position something learn,negative
yes flight rebooked im losing trust want get anywhere time,negative
thanks keep good work,positive
reflight booking problemss last day time united wait time lt second kudos excellent customer service,positive
solution,negative
mind,neutral
im evry st flight take w delayed amp evry nd time missed evry time lastflightofthenight breakup,negative
submit complaint line never heard back dont id find,negative
cool customer told didnt care either expected,negative
freaking worthless hate airline,negative
u leave ord time week shameful,negative
missed daughter suppose dpt ord pm dpted pm checked week average ua shameful day average pm,negative
understand pilot would get plane st class empty coach seat near im premier k,neutral
fantastic night waiting hour delayed airplane alert u flight cancelled flighted land whatstatus,negative
someone airport portland buy ticket picked used day late flightr perth australia thanks,neutral
delta flight lax compensated rental car,negative
happens spooky spook much scare,neutral
missed set hotel flight delayed sfo hour missing wedding festivity friend 😞,negative
